Date,Summary,Rating,Title,Pros,Cons,Helpful,URL,Company
28-Oct-13,"Great, fun company!",5,Former Employee - Anonymous EmployeeŒæ,"Fun office, flexible scheduling, nice coworkers. The office is really nice with cool art on the walls, a stocked kitchen, and plenty of dogs around all the time. They also compensate for travel on caltrain/muni.","Not the highest pay, especially for living in San Francisco which is so expensive.",1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P1.htm?sort.sortType=RD&sort.ascending=true,Lyft
7-Dec-13,"Amazing people, doing amazing things.",5,"Current Employee - Anonymous EmployeeŒæin San Francisco, CA",#NAME?,"-big workload and fast pace. I see this as a good thing, and it is not unique to Lyft. You'll see this at any successful startup
-compensation is on the lower side. But in my opinion, the benefits of working with these people outweighs the salary
-can't really think of anything more! love these guys",0,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P1.htm?sort.sortType=RD&sort.ascending=true,Lyft
8-Dec-13,"äóìAmazing team, incredible product. Proud and humbled to work here.äó",5,"Current Employee - Anonymous EmployeeŒæin San Francisco, CA","Team camaraderie, energy, and creativity focused on solving an amazing problem.","Non really, just your normal startup growing pains.",0,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P1.htm?sort.sortType=RD&sort.ascending=true,Lyft
10-Jan-14,Awesome company to work for. Amazing people and smart management,5,"Current Employee - Anonymous EmployeeŒæin San Francisco, CA","-Great product and brand.
-Upper management really cares and listen to both employees and the community
-Good pay (for my role at least)
-Free lunch, monthly commuter benefits
-Free Lyft credits occasionally
-Positive and encouraging work environment
-barely any micro management.
*************
I just want to clarify a few things with regards to the driver complaints below:
-It is very difficult to get a low...","Not really any, just typical growing startup problems. Some politics, but which company doesn't have politics?",4,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P1.htm?sort.sortType=RD&sort.ascending=true,Lyft
9-Jun-14,Lyft is great!,5,"Current Employee - Campus Growth ManagerŒæin Baltimore, MD","Flexibility
Investment in employees
Excellent money
Virtual company","Virtual company
Limited communication outlets
Some glitches in app
GPS accuracy",0,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P1.htm?sort.sortType=RD&sort.ascending=true,Lyft
8-Jul-14,The best place I've ever worked,5,"Current Employee - Software EngineerŒæin San Francisco, CA","Everyone here loves what they do, and the passion is contagious. As a software engineer, you get to work on some really interesting behind the scenes projects that are core to scaling the business.","It's a start-up, so things can be chaotic at times, but I personally enjoy the start-up environment. If you're looking for a clear structure and management of the type you'd find at a big company, this is not the place for you.",4,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P1.htm?sort.sortType=RD&sort.ascending=true,Lyft
5-Sep-14,Best career experience yet,5,"Current Employee - Anonymous EmployeeŒæin San Francisco, CA",#NAME?,Nothing truly noteworthy at the moment.,1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P1.htm?sort.sortType=RD&sort.ascending=true,Lyft
10-Sep-14,Ops Department,2,Former Employee - Anonymous EmployeeŒæ,"Free food, great people, fun place to work.",Novice management and reckless promotions.,3,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P1.htm?sort.sortType=RD&sort.ascending=true,Lyft
29-Oct-14,It's all about the people,5,"Current Employee - Anonymous EmployeeŒæin San Francisco, CA","Lyft has managed to create an immense sense of family. Everyone who works here is driven by a similar mission, and it becomes infectious. It makes it easy to look forward to work every morning when you get to hang out with such wonderful people.","As we've grown so rapidly, there are certain times when communication between teams breaks down, causing occasional inefficiencies.",1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P1.htm?sort.sortType=RD&sort.ascending=true,Lyft
5-Dec-14,Fun place to work.,4,Current Employee - Anonymous EmployeeŒæ,good coffee. like the cereal selection.,Don't like the hipsters around this place.,3,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P1.htm?sort.sortType=RD&sort.ascending=true,Lyft
10-Dec-14,Best work culture ever,5,"Current Employee - Software EngineerŒæin San Francisco, CA",#NAME?,"No cons really, working at Lyft has been an amazing experience so far.",0,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P2.htm?sort.sortType=RD&sort.ascending=true,Lyft
12-Dec-14,Fast-paced and exciting place to work,5,"Current Employee - Software EngineerŒæin San Francisco, CA",#NAME?,"-not enough process around certain things
-not good if you don't like dogs",4,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P2.htm?sort.sortType=RD&sort.ascending=true,Lyft
20-Feb-15,It was a good startup before Uber came along,2,"Former Employee - Software EngineerŒæin San Francisco, CA","You work on a product that is used by millions of people.
Products were rolled out quickly.
Coworkers seemed dedicated to succeed.
Monthly all hand meetings and weekly engineering meetings kept you up to date on what was happening.
Perks were good, nice office, nice deck of the roof, nice lunch.","The HQ building is a couple blocks from BART.  Homeless people camp on the sidewalk across the street.  Walking around at night could be scary or very interesting.
The outlook for the company is not as bright as it was in 2013.  As a Lyft employee you thought Uber was beatable.  After several of Ubers huge funding rounds, competing with Uber seems foolishly optimistic.
Too much technical debt in Engineering...this is...",22,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P2.htm?sort.sortType=RD&sort.ascending=true,Lyft
26-Feb-15,Fun and smart co-workers in a company driving innovation,5,"Current Employee - Anonymous EmployeeŒæin San Francisco, CA","Unlimited PTO, free lunch, great culture of fun & nice yet hard working employees, good perks, room for career advancement, dog friendly.",HQ not on direct public transit line; must be able to pivot and problem solve in a fast paced environment,2,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P2.htm?sort.sortType=RD&sort.ascending=true,Lyft
14-Apr-15,Operations Manager,4,Former Employee - Anonymous EmployeeŒæ,Great company culture where co-workers tend to be more like friends than work associates. Young people come together to create something bigger than offering a ride to a stranger.,"Because co-workers tend to be more like friends, if you aren't the super social type, you're frowned upon. It's almost as if the expectation is to hang out with everybody, everyday after work. And if you've got a family, forget about it! They don't get it.
Oh, and pay for the vast amount of work could be better.",8,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P2.htm?sort.sortType=RD&sort.ascending=true,Lyft
28-Apr-15,Support Associate,3,Former Employee - Anonymous EmployeeŒæ,"äó¢ Catered lunches every weekday and fully stocked kitchens
äó¢ Spacious building
äó¢ Really good benefits","äó¢ Embarrassingly low pay for non-salaried employees
äó¢ A severely unfortunate focus on quantity over quality
äó¢ Support being outsourced to third party companies in Asia to lower costs
äó¢ With the new board of executives, comes stringent cost-cutting
äó¢ No 401k matching",17,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P2.htm?sort.sortType=RD&sort.ascending=true,Lyft
29-Apr-15,Great Company!,5,"Current Employee - Security GuardŒæin New York, NY",Great work environment and vision for ride sharing business,No cons to report as of this writing,0,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P2.htm?sort.sortType=RD&sort.ascending=true,Lyft
13-May-15,The teenage phase is rough,4,"Former Employee - Anonymous EmployeeŒæin Oakland, CA","Incredibly smart and kind folks. Free food, if you're into that kind of thing. Definitely a fun product and hard problems to solve.","Still young minded, but no longer a young company. They need to get out of the teenage phase asap and start acting like a bit company. With that said, their culture couldn't sustain a fast move in to that, so it's a fine line. One that I hope they breach. Depending on your role, work/life balance isn't a thing, but it can be if you view it as just a job.",6,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P2.htm?sort.sortType=RD&sort.ascending=true,Lyft
20-May-15,Newly hired iOS developer,5,"Current Employee - IOS DeveloperŒæin San Francisco, CA",Great projects that people are extremely motivated about. Really friendly and social atmosphere. Smart people. Great work/life balance. Opportunities for impact and influence. Use of Swift highly encouraged. Fast release cycles.,"Derth of open-source opportunities on iOS, though there are iOS developers here who are big contributors in their free time and pushing for more work-related opportunities.",1,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P2.htm?sort.sortType=RD&sort.ascending=true,Lyft
25-May-15,Lyft is all about community and collaboration,5,"Current Employee - AnonymousŒæin San Francisco, CA","The people who work at Lyft really embody the company's values. Everyone, including executive management, is extremely approachable and down-to-earth. The company culture has a great vibe - positive, collaborative, and uplifting / supportive. Makes me happy and excited to come to work each day!",The company is rapidly expanding so it's tough to keep up with all the people joining and how teams are quickly changing.,0,https://www.glassdoor.com/Reviews/Company-Reviews-E700614_P2.htm?sort.sortType=RD&sort.ascending=true,Lyft
